address,address_clean,lat,lon
"302 NORTH WEST BERRY ST, SYLVESTER, Georgia 31791-7554","302 NORTH WEST BERRY ST, SYLVESTER, Georgia 31791",31.528989,-83.833714
"1012 WEST FRANKLIN STREET, SYLVESTER, Georgia 31791-4405","1012 WEST FRANKLIN STREET, SYLVESTER, Georgia 31791",31.5360769,-83.8618829
"210 EAST 16TH STREET, ALMA, Georgia 31510","210 EAST 16TH STREET, ALMA, Georgia 31510",31.5390626,-82.4609773
"29040 NORTH BERMUDA STREET, MORGAN, Georgia 39866-3516","29040 NORTH BERMUDA STREET, MORGAN, Georgia 39866",31.5391592,-84.5995348
"204 E. 15TH ST, ALMA, Georgia 31510","204 E. 15TH ST, ALMA, Georgia 31510",31.5398019,-82.460885
"1112 WEST 12TH STREET, ALMA, Georgia 31510","1112 WEST 12TH STREET, ALMA, Georgia 31510",31.5430983,-82.4878996
"101 NORTH WAYNE STREET, ALMA, Georgia 31510-2540","101 NORTH WAYNE STREET, ALMA, Georgia 31510",31.54447,-82.458602
"1425 WEST OAKRIDGE DRIVE, ALBANY, Georgia 31707","1425 WEST OAKRIDGE DRIVE, ALBANY, Georgia 31707",31.5492729,-84.1898628
"1710 SOUTH SLAPPEY BOULEVARD, ALBANY, Georgia 31701-2634","1710 SOUTH SLAPPEY BOULEVARD, ALBANY, Georgia 31701",31.5559442,-84.1767112
"1300 NEWTON ROAD, ALBANY, Georgia 31701","1300 NEWTON ROAD, ALBANY, Georgia 31701",31.5617899,-84.1636245
"521 LAX HIGHWAY, OCILLA, Georgia 31774","521 LAX HIGHWAY, OCILLA, Georgia 31774",31.574307,-83.228118
"1712-A EAST BROAD AVENUE, ALBANY, Georgia 31705","1712-A EAST BROAD AVENUE, ALBANY, Georgia 31705",31.5764507,-84.1146819
"2001 LEONARD DRIVE, ALBANY, Georgia 31705","2001 LEONARD DRIVE, ALBANY, Georgia 31705",31.576575,-84.100954
"4529 GILLIONVILLE ROAD, ALBANY, Georgia 31721","4529 GILLIONVILLE ROAD, ALBANY, Georgia 31721",31.5856776,-84.2286865
"901 NORTH MADISON STREET, ALBANY, Georgia 31701","901 NORTH MADISON STREET, ALBANY, Georgia 31701",31.588965,-84.162064
"1110 NORTH MONROE STREET, ALBANY, Georgia 31701-1949","1110 NORTH MONROE STREET, ALBANY, Georgia 31701",31.5917673,-84.1589711
