ZCTA,lat,lon,pop_below_18
30527,34.47948028414069,-83.78634303,906.10303
30535,34.58063098416024,-83.57648073,1592.7356
30566,34.23743068,-83.89479096,1725.345
30606,33.938717986763734,-83.43302915,9061.2342
30628,34.03115965670824,-83.21363596,1818.0137
30630,33.89890931436315,-83.143662,568.21006
30633,34.1789561,-83.24609745,1909.302
30669,33.67160957927171,-83.11179843,800.47234
30678,33.44626286133864,-83.0759976,225.39878
30746,34.59209623010576,-85.0328717,471.89262
31009,32.27635013809235,-83.00562787,225.25149
31021,32.48989767596115,-82.93421836,6773.662
31045,33.28488599486593,-82.78935832,11.865509
31047,32.46784744057897,-83.58001693,3774.2397
31068,32.33221753353539,-84.10709467,724.63078
31217,32.84503140875009,-83.50573925,4342.732
31309,31.88381834725969,-81.44362443,153.50523
31415,32.08027531725042,-81.1260195,3271.6954
31548,30.79532119218429,-81.71051696,5679.8489
31638,30.90625621901548,-83.5158857,209.01794
31771,31.243325218307856,-83.64776217,1368.715
31788,31.10892145784688,-83.68100362,3087.1209
31814,32.205294823547646,-84.86138972,13.068051
31831,32.66482387048586,-84.70701143,664.83297
39836,31.66293146231853,-84.87725056,123.80429
31905,32.37302178418598,-84.84334443,5167.7862
30017,33.88939492725457,-83.9635051,6619.5898
30041,34.201590063907844,-84.09382282,19425.958
30056,33.49497121551766,-83.6506777,655.6366
30108,33.53168652291066,-85.2623972,1532.3603
30141,33.86240093442026,-84.77522525,6134.4995
30183,34.33849655690187,-84.59761949,838.60021
30256,33.01651589424176,-84.31514797,772.05145
30307,33.77056927125211,-84.33413119,3497.7479
30327,33.86708911550981,-84.42357199,5393.2809
30417,32.169530914278944,-81.9197666,2851.2237
30522,34.78352642144357,-84.34231869,183.14868
30542,34.178431449951304,-83.90913198,8941.266
30559,34.95237823180641,-84.26610876,758.51375
30582,34.94937833,-83.89865143,677.06881
30619,33.85747985904433,-83.24034402,338.66333
30683,33.94701610364973,-83.25776775,1520.0563
30821,33.48503227719194,-82.73124464,176.63734
31015,31.93729921251373,-83.77445008,5143.7974
31038,33.15553541323802,-83.61647224,180.46915
31061,33.06040041151324,-83.22808393,8077.7147
31329,32.42510217,-81.34306327,2809.6397
31409,32.010590658006194,-81.15541565,228.61574
31518,31.512682106074248,-82.18324305,144.56941
31532,31.724592543410434,-82.74884099,116.16167
31553,31.173052139059347,-81.9802608,901.76259
31567,31.630115210070294,-82.70707588,140.65535
31629,30.82048211832401,-83.68808,135.37062
31714,31.710723268933865,-83.6750107,1406.6364
31824,32.05687055614132,-84.52291149,355.96711
39819,30.784827633894214,-84.64310265,2262.8615
30009,34.077122263814545,-84.30283727,4854.5404
30045,33.93048545610978,-83.93017007,12440.429
30047,33.87102884802101,-84.11308769,18044.035
30054,33.676531723221125,-83.87559172,2509.6845
30094,33.61239479231912,-84.05549816,7710.8357
30132,33.99042036575627,-84.85277934,12070.099
30180,33.72015268,-84.91956179,10579.497
30233,33.29489618397129,-83.97507733,5330.4634
30295,33.09316958478264,-84.31822297,966.56307
30340,33.89804566816888,-84.25110411,7867.28
30434,33.02867332337523,-82.37263714,1178.2825
30467,32.75099876,-81.60468787,2346.6686
30504,34.26638424174064,-83.88744699,7512.3886
30528,34.608275273476615,-83.77581532,5043.107
30575,34.20350827630917,-83.71550521,514.17657
30728,34.680178084158655,-85.23416144,5181.6875
31033,33.07656878271595,-83.43640368,593.94153
31069,32.440625395510395,-83.74376756,4748.5212
31078,32.698671236433256,-84.06450445,785.90354
31312,32.32106096852987,-81.40116533,5971.4867
31410,32.01816086,-80.99211294,5925
31546,31.525175723308028,-81.81132074,1442.8556
31624,31.299093780118685,-82.72613102,449.71518
31649,30.94350318451268,-83.00782014,176.15222
31705,31.51166493302557,-84.05331115,7914.0991
31764,31.977088690583603,-84.08145357,230.84548
31789,31.47844933387924,-83.7325637,321.14077
31807,32.640560644479926,-84.80141838,483.76359
31909,32.54517370886436,-84.92382755,9627.5878
39861,31.13633723247637,-84.98842225,232.717
30002,33.77308375915922,-84.26090171,1294.6296
30004,34.143559992160526,-84.29925673,18511.3
30012,33.71738752712357,-83.99915059,8669.5916
30024,34.063392129689284,-84.09112298,23093.04
30071,33.93977625236633,-84.20561848,7020.2775
30080,33.87865291601034,-84.50527951,11378.19
30092,33.971472611273946,-84.23534775,8443.985
30097,34.02708160182204,-84.1470298,11472.66
30152,33.99437953039119,-84.64740612,10810.75
30257,33.14219995435342,-84.18609134,851.35935
30268,33.54357834303224,-84.72262959,2931.4941
30297,33.615116999578994,-84.37144345,8340.0528
30316,33.71279105473504,-84.33218881,5481.8053
30421,32.18400062708147,-82.11095637,642.29909
30471,32.538129159796355,-82.18568581,834.82002
30519,34.087936551398386,-83.94230406,13585.148
30536,34.65150896966959,-84.35223006,1729.7128
30565,34.08802148296796,-83.41203315,1057.977
30620,33.92916727966101,-83.7595858,4128.8216
30739,34.80347134592503,-85.21516417,1344.8692
30742,34.93559672091076,-85.24484171,1236.1336
30823,33.22196652119978,-82.45646921,403.65186
31006,32.581541222348136,-84.25527963,912.83516
31065,32.562997489723145,-83.16646174,254.79789
31098,32.61898850696797,-83.57357755,851.36492
31322,32.10257331151204,-81.25627985,5666.8988
31326,32.296525141545935,-81.22823423,5888.002
31562,30.47782676194432,-82.10766178,515.43779
31632,30.98757811077977,-83.36007676,3550.8068
31738,31.01131222867758,-83.87502892,671.0201
31778,30.975414037197314,-83.70930268,502.5865
31805,32.26619983101801,-84.74615828,657.01903
39826,31.820946199940703,-84.32420479,100.34214
39866,31.55951740193221,-84.6055345,174.07651
30011,34.02281811533911,-83.83640717,4677.5355
30013,33.64295532203611,-83.97150931,5797.8339
30030,33.77207312294352,-84.29130984,8965.8332
30043,34.00355443152374,-84.00705654,22690.334
30104,34.08789529259173,-85.069806,1390.4046
30135,33.67284482086199,-84.74526703,18119.248
30206,33.096702111345614,-84.46302239,748.04783
30251,33.18869978099961,-84.69983391,476.5039
30455,32.70108206990703,-81.80652035,156.09644
30560,34.87785129,-84.19530816,792.74973
30641,33.778711542882654,-83.5645479,455.75757
30730,34.36009846981104,-85.42168965,471.29475
30757,34.94163693,-85.43239017,307.8505
30809,33.555241205549244,-82.16354338,14124.852
31012,32.39419533664549,-83.17715363,259.23773
31054,32.88214790148891,-83.20723938,266.16914
31088,32.58586702487779,-83.65522009,15279.94
31307,32.17974283913913,-81.39669621,260.52805
31527,31.07402804115159,-81.41807328,164.54513
31545,31.648634665117797,-81.94049697,4433.8721
31568,31.009757779864103,-81.82218169,171.74892
31709,32.05070472477663,-84.14014416,3261.0053
31733,31.59291874286086,-83.48600632,307.04834
31783,31.764123091430747,-83.47375654,215.29275
31812,32.631722576215985,-84.42019385,67.419532
39827,30.94912813805759,-84.21674386,1073.818
39870,31.31943676964816,-84.41073594,409.8317
30021,33.80805472508716,-84.2390807,8691.713
30028,34.289271058505165,-84.17985954,8337.1112
30035,33.72558398877848,-84.20537459,5843.2222
30046,33.94972573231278,-83.99386749,10663.037
30110,33.740724607924044,-85.136999,3481.349
30184,34.260375670957835,-84.71594814,2004.4799
30234,33.32996891120636,-84.02619613,411.29883
